Course Code,Course Title
COS120,C++ Programming
COS150,Discrete Structures
COS220, Concepts of Programming Languages
COS230,Basics in Java Programming
COS221,Fundamental Data Structures
COS315,Software Engineering
COS340,Programming in Python
COS480,Data Mining
COS491,Senior Project COS
INF130,Basics in C# Programming
INF241,Website Development
INF151,Personal Productivity with Information Technologies
INF270,Analysis and Design of Information Systems
INF280,Database Systems
INF370,Information Security
INF450,Information Systems Project Management
INF492,Senior Project INF
