"Course Code,""Course Title"""
COS120,C++ Programming
COS150,Discrete Structures
COS221,Fundamental Data Structures
COS230,Basics in Java Programming
COS231, Introduction to Unix
COS235,Computer Architecture
COS240, Object-Oriented Programming
COS331,Operating Systems
COS460,Algorithms
COS491,Senior Project
INF151,Personal Productivity with Information Technologies
INF130,Basics in C# Programming
INF241,Website Development
INF270,Analysis and Design of Information Systems
INF320,Mobile Computing
INF280,Database Systems
INF481,Big Data Analytics
INF441,Technologies for Web-based Information Systems
INF375,Web Client Technologies
INF492,Senior Project INF
