Course Code,Course Title
COS120,C++ Programming
COS150,Discrete Structures
COS221,Fundamental Data Structures
COS230,Basics in Java Programming
COS315,Software Engineering
COS480,Data Mining
COS491,Senior Project
INF130,Basics in C# Programming
INF241,Website Development
INF151,Personal Productivity with Information Technologies
INF270,Analysis and Design of Information Systems
INF280,Database Systems
INF375,Web Client Technologies
INF335,Web Server Technologies
INF450,Information Systems Project Management
INF492,Senior Project INF
